anio,expo_indec_gas,expo_indec_crudo,unidad
2002,308993548.0,2231087680.0,usd
2003,354209883.0,2296395886.0,usd
2004,426885568.0,2263087744.0,usd
2005,491912718.64,2508982814.39,usd
2006,634810608.27,2406092879.21,usd
2007,454771414.64,1296002682.7,usd
2008,349067356.47,1618156095.92,usd
2009,456059167.29,2466356798.3,usd
2010,215825026.64,2583533661.29,usd
2011,130650372.32,2182223595.14,usd
2012,76492515.17,2611223720.82,usd
2013,74631733.36,1736775154.27,usd
2014,53112416.46,1619632669.31,usd
2015,44485580.52,670929750.82,usd
2016,39151295.14,748543642.78,usd
2017,27262269.01,585041723.42,usd
2018,26181210.74,646110093.86,usd
2019,326416836.63,734650486.64,usd
