AÑO;MES;BRENT;CAÑADON SECO;ESCALANTE;HIDRA;MAGALLANES;MARÍA INÉS;MEDANITO;MENDOZA NORTE;NOROESTE;SAN SEBASTIÁN;TOTAL TIPO DE CRUDO;WTI
1991;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1992;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1993;1;109.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;119.69
;2;116.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;126.36
;3;118.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;127.81
;4;117.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;127.37
;5;116.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;125.48
;6;111.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;120.07
;7;105.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;112.52
;8;105.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;113.28
;9;100.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;110.07
;10;104.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;114.16
;11;95.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;104.47
;12;86.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;91.33
1994;1;89.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;94.54
;2;86.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;92.96
;3;86.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;92.33
;4;95.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;103.28
;5;101.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;112.52
;6;105.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;119.88
;7;110.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;123.66
;8;106.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;115.61
;9;100.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;109.76
;10;103.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;111.46
;11;108.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;113.66
;12;100.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;107.93
1995;1;104.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;113.47
;2;107.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;116.80
;3;106.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;116.61
;4;117.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;125.17
;5;115.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;124.16
;6;108.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;116.05
;7;99.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;109.00
;8;101.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;113.34
;9;105.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;114.66
;10;101.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;109.63
;11;106.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;113.15
;12;112.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;119.69
1996;1;112.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;118.63
;2;113.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;120.07
;3;124.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;134.16
;4;131.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;147.81
;5;120.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;133.16
;6;116.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;128.44
;7;123.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;133.97
;8;129.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;137.75
;9;142.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;150.77
;10;151.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;156.49
;11;143.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;149.13
;12;149.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;158.69
1997;1;148.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;158.06
;2;131.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;139.51
;3;120.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;131.90
;4;110.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;123.91
;5;119.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;130.95
